id,Governroate,District,Sub.District,Area,Place,PlaceID,sites.Religious.Buildings,sites.Unfinished.Buildings,sites.Open.Air,families.Religious.Buildings,families.Unfinished.Buildings,families.Open.Air,dtmfam.Religious.Buildings,dtmfam.Unfinished.Buildings,diff.Religious.Buildings,diff.Unfinished.Buildings
65,Erbil,Erbil,Ankawa,Ankawa,Ainkawa (108),20980,,1,,,148,,0,0,0,148
66,Erbil,Erbil,NA,Erbil city,Al Qala',24195,1,,,300,,,0,0,300,0
67,Erbil,Erbil,Daratu,Daratu,Daratu,11752,,40,,,220,,0,65,0,155
68,Erbil,Erbil,Kasnazan,Kasnazan,Kasnazan,24159,2,,,475,,,0,0,475,0
69,Erbil,Erbil,NA,Khabat,Safiya village,12821,,3,,,100,,,,0,100
70,Erbil,Erbil,NA,Erbil city,Sedawa,23911,1,,,150,,,0,0,150,0
71,Erbil,Erbil,NA,Terawa,Terawa,24159,2,,,300,,,,,300,0
72,Erbil,Koisnjaq,NA,Armota,Armota,24484,3,,,65,,,30,0,35,0
73,Erbil,Koisnjaq,NA,District center,Bayizagha,12371,,4,,,30,,0,0,0,30
74,Erbil,Koisnjaq,NA,Koysinjaq,Bazar koya,24597,2,3,,25,40,,25,0,0,40
75,Erbil,Koisnjaq,NA,Chnarok,Chnarok,11617,1,1,,60,20,,,,60,20
76,Erbil,Koisnjaq,NA,District center,Jamiyah,24599,3,,,210,,,210,0,0,0
77,Erbil,Koisnjaq,NA,District center,Qalat,23280,1,,,10,,,0,0,10,0
78,Erbil,Shaqlawa,NA,Shaqlawa,Balisan,13617,1,,,30,,,,,30,0
79,Erbil,Shaqlawa,NA,Shaqlawa,Betarma,23713,2,,,80,,,250,0,-170,0
80,Erbil,Soran,NA,Diana,Diana,24577,1,,,135,,,150,10,-15,-10
81,Ninewa,Akre,Akre,Akre,Akre City Centre,17734,3,111,,78,600,,0,750,78,-150
82,Ninewa,Akre,Bardarash,Bardarash,Bardarash City Centre,17145,3,60,,20,450,,,,20,450
83,Ninewa,Akre,Kalak,Basheryan,Basheryan,,1,1,,60,70,,,,60,70
84,Ninewa,Akre,Bijil,Bijil,Bijil,17776,,20,,,107,,25,150,-25,-43
85,Ninewa,Akre,Daratu,Daratu,Daratu,8776,1,42,,4,174,,50,200,-46,-26
86,Ninewa,Akre,Dinarta,Dinarta,Dinarta,16953,2,20,,54,75,,,,54,75
87,Ninewa,Akre,Kalak,Gawilan,Gawilan,17039,,3,,,26,,,,0,26
88,Ninewa,Akre,Grdaseen,Grdaseen,Grdaseen,17802,11,46,,170,180,,100,600,70,-420
89,Ninewa,Akre,Kalak,Kalak,Kalak,24581,,18,,,30,,50,400,-50,-370
90,Ninewa,Akre,Kalak,NA,Kalak,24581,,8,,,200,,,,0,200
91,Ninewa,Akre,Kalak,Kawrasur,Kawrasur,,,2,,,43,,,,0,43
92,Ninewa,Akre,Roviya,Roviya,Roviya,24580,2,12,,100,300,,100,580,0,-280
93,Ninewa,Al-Shikhan,Atrush,Atrush,Atrush,17338,3,66,,15,287,,50,100,-35,187
94,Ninewa,Al-Shikhan,Baadre,Baadre,Baadre,17752,3,11,,67,400,,200,400,-133,0
95,Ninewa,Al-Shikhan,Qasrook,Chira,Chira,21008,,42,,,175,,0,0,0,175
96,Ninewa,Al-Shikhan,Qasrook,Kalakchi,Kalakchi,18058,10,15,,96,200,,137,150,-41,50
97,Ninewa,Al-Shikhan,Qasrook,Mala Brwan,Mala Brwan,17868,1,35,,7,142,,,,7,142
98,Ninewa,Al-Shikhan,Qasrook,Qasrook,Qasrook City Centre,18199,,12,,,103,,0,170,0,-67
99,Ninewa,Al-Shikhan,(blank),Shikhan,Shikhan City Centre,17333,14,,,389,,,200,550,189,-550
100,Ninewa,Al-Shikhan,Zelkan,Zelkan,Zelkan City Centre,17981,4,34,,27,165,,,,27,165
