1,,,154,Anbar,Same,Anbar,Al-Ka'im,,,Al `Ubaydi,مرحلة الاولى,90,41.18,34.41,,,,0,0,71,0,71,0,0,0,0,12,0,0,0,No,No,Yes,Yes,No,,,,,15-05-2014
2,,,210,Anbar,Same,Anbar,Al-Ka'im,,,Al `Ubaydi-2,مرحلة الثانية ,23797,41.202051,34.421411,,,,0,0,85,0,112,0,0,0,11,2,0,0,0,No,No,Yes,Yes,No,,,,,15-05-2014
3,,,164,Anbar,Same,Anbar,Al-Ka'im,,,Al `Ubaydi-3,مرحلة الثالثة,164,41.234951,34.433919,,,,0,0,70,0,41,0,30,0,0,23,0,0,0,No,No,Yes,Yes,No,,,,,15-05-2014
4,,,136,Anbar,Same,Anbar,Al-Ka'im,,,Al `Ubaydi-Smnt,المجمع السكني لمعمل سمنت القائم,23798,41.202051,34.421411,,,,0,0,73,0,63,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
5,,,34,Anbar,Same,Anbar,Al-Ka'im,,,Al Anga'a,حي العنقاء,23792,41.05878,34.37618,,,,0,0,21,0,13,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
6,,,161,Anbar,Same,Anbar,Al-Ka'im,,,Al Aubaidi Al Qadima,العبيدي القديمة ,23647,41.202051,34.421411,,,,0,0,67,0,35,0,14,0,28,17,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
7,,,55,Anbar,Same,Anbar,Al-Ka'im,,,Al Nahda Al-Sharqiyah,حي النهضة الشرقية,23791,41.05878,34.37618,,,,0,0,36,0,19,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
8,,,59,Anbar,Same,Anbar,Al-Ka'im,,,Al Rumanah Al Gharbiyah,حي الرمانة الغربية,23795,41.0748,34.403923,,,,0,0,37,0,22,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
9,,,72,Anbar,Same,Anbar,Al-Ka'im,,,Al Rumanah Al Sharqiyah,حي الرمانة الشرقية,23796,41.0748,34.403923,,,,0,0,32,0,27,0,0,0,13,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
10,,,65,Anbar,Same,Anbar,Al-Ka'im,,,Al Zalla,قرية الزلة,21477,41.455566,34.421179,,,,0,0,0,0,46,0,0,0,11,8,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
11,,,95,Anbar,Same,Anbar,Al-Ka'im,,,Al-Amen,حي الامين,106,41.006205,34.389693,,,,0,0,51,0,28,0,0,0,16,0,0,0,0,No,No,Yes,Yes,No,,,,,14-06-2014
12,,,5,Anbar,Same,Anbar,Al-Ka'im,,,Albu Hardan,قرية البوحردان,273,41.108437,34.392591,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
13,,,27,Anbar,Same,Anbar,Al-Ka'im,,,Albu Ubaid,قرية البوعبيد,275,41.091485,34.403801,,,,0,0,11,0,16,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-01-2014
14,,,37,Anbar,Same,Anbar,Al-Ka'im,,,Al-Rabet,قرية الربط,274,41.041886,34.418986,,,,0,0,26,0,11,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,14-06-2014
15,,,62,Anbar,Same,Anbar,Al-Ka'im,,,Door Al-Sikak,حي السكك,271,40.973572,34.388794,,,,0,0,40,0,22,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,14-06-2014
16,,,193,Anbar,Same,Anbar,Al-Ka'im,,,Hay 12 Rabee' Alawal,حي 12ربيع الاول,272,40.981134,34.392991,,,,0,0,125,5,63,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,15-05-2014
17,,,10,Baghdad,Same,Anbar,Al-Ka'im,,,Hay 12 Rabee' Alawal,حي 12ربيع الاول,272,40.981134,34.392991,,,,0,0,3,0,7,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,,,,,14-06-2014
