gov_en,gov_ar,dis_en,dis_ar,subdistrict_en,subdistrict_ar,male.urban,female.urban ,total.urban,male.rural,female_rural,total.rural,male.pop,female.pop,total.pop
Kirkuk,كركوك,Al Hawiga,الحويجة,Al Zab,الزاب," 10,108 "," 6,656 "," 16,764 "," 10,579 "," 28,998 "," 39,577 "," 20,687 "," 35,654 "," 56,341 "
Kirkuk,كركوك,Daquq,داقوق,Markaz Daquq,مركز قضاء داقوق," 12,677 "," 8,348 "," 21,026 "," 11,715 "," 32,110 "," 43,825 "," 24,392 "," 40,458 "," 64,851 "
Kirkuk,كركوك,Daquq,داقوق,Rashad,الرشاد, 904 , 596 ," 1,500 "," 7,258 "," 19,895 "," 27,154 "," 8,163 "," 20,491 "," 28,654 "
Kirkuk,كركوك,Dibis,دبس,Markaz Dibis,مركز قضاء الدبس," 11,815 "," 7,780 "," 19,595 "," 7,785 "," 21,340 "," 29,125 "," 19,601 "," 29,120 "," 48,721 "
Kirkuk,كركوك,Dibis,دبس,Sargaran (Al Quds),سركران," 1,165 ", 767 ," 1,933 "," 4,948 "," 13,562 "," 18,510 "," 6,113 "," 14,329 "," 20,443 "
Diyala,ديالى,Ba'quba,بعقوبة,Markaz Ba'quba,مركز قضاء بعقوبة," 139,675 "," 121,850 "," 261,526 "," 3,626 "," 3,678 "," 7,304 "," 143,302 "," 125,528 "," 268,830 "
Diyala,ديالى,Ba'quba,بعقوبة,Kinan,كنعان," 11,251 "," 9,816 "," 21,067 "," 11,692 "," 11,859 "," 23,551 "," 22,944 "," 21,674 "," 44,618 "
Diyala,ديالى,Ba'quba,بعقوبة,Bani Sa'd,بني سعد," 13,594 "," 11,859 "," 25,453 "," 49,951 "," 50,662 "," 100,613 "," 63,545 "," 62,521 "," 126,066 "
Diyala,ديالى,Ba'quba,بعقوبة,Bahraz,بهرز (أشنونا)," 18,265 "," 15,934 "," 34,199 "," 7,716 "," 7,825 "," 15,541 "," 25,981 "," 23,760 "," 49,740 "
Diyala,ديالى,Ba'quba,بعقوبة,Al Ebarah,العبارة," 1,374 "," 1,198 "," 2,572 "," 37,298 "," 37,828 "," 75,126 "," 38,671 "," 39,027 "," 77,698 "
Diyala,ديالى,Muqdadiya,المقدادية,Markaz Al Muqdadiya,مركز قضاء  المقدادية," 39,881 "," 34,791 "," 74,672 "," 39,952 "," 40,521 "," 80,473 "," 79,833 "," 75,312 "," 155,145 "
Diyala,ديالى,Muqdadiya,المقدادية,Abi Sida,أبي صيدا," 7,243 "," 6,319 "," 13,562 "," 15,341 "," 15,560 "," 30,901 "," 22,584 "," 21,878 "," 44,462 "
Diyala,ديالى,Muqdadiya,المقدادية,Al wajeheyeh,الوجيهية," 4,759 "," 4,152 "," 8,911 "," 16,180 "," 16,410 "," 32,590 "," 20,939 "," 20,562 "," 41,501 "
Diyala,ديالى,Khalis,الخالص,Markaz Al Khalis,مركز قضاء الخالص," 31,275 "," 27,283 "," 58,558 "," 39,298 "," 39,857 "," 79,154 "," 70,572 "," 67,140 "," 137,712 "
Diyala,ديالى,Khalis,الخالص,Al Mansouriyah,المنصورية," 6,743 "," 5,883 "," 12,626 "," 22,962 "," 23,289 "," 46,252 "," 29,706 "," 29,172 "," 58,877 "
Diyala,ديالى,Khalis,الخالص,Hubhub,هبهب," 8,443 "," 7,366 "," 15,809 "," 35,663 "," 36,171 "," 71,834 "," 44,106 "," 43,536 "," 87,642 "
Diyala,ديالى,Khalis,الخالص,Al Atheem,السد العظيم," 3,508 "," 3,060 "," 6,568 "," 7,746 "," 7,856 "," 15,602 "," 11,254 "," 10,917 "," 22,171 "
Diyala,ديالى,Khalis,الخالص,Khalis/Al Salam,الخالص / السلام," 1,712 "," 1,494 "," 3,206 "," 11,205 "," 11,365 "," 22,570 "," 12,917 "," 12,858 "," 25,776 "
Diyala,ديالى,Khanaqin,خانقين,Markaz Khanaquin,مركز قضاء خانقين," 25,789 "," 22,498 "," 48,287 "," 17,150 "," 17,394 "," 34,543 "," 42,939 "," 39,891 "," 82,830 "
Diyala,ديالى,Khanaqin,خانقين,Jalula,جلولاء," 31,083 "," 27,116 "," 58,198 "," 14,958 "," 15,171 "," 30,129 "," 46,041 "," 42,287 "," 88,327 "
Diyala,ديالى,Khanaqin,خانقين,As Saadia,السعدية," 9,611 "," 8,384 "," 17,995 "," 14,974 "," 15,187 "," 30,161 "," 24,585 "," 23,571 "," 48,156 "
Diyala,ديالى,Baladrooz,بلدروز,Markaz Baladruz,مركز قضاء  بلدروز," 31,961 "," 27,882 "," 59,843 "," 17,881 "," 18,135 "," 36,016 "," 49,841 "," 46,017 "," 95,858 "
Diyala,ديالى,Baladrooz,بلدروز,Mandali,مندلي," 4,087 "," 3,565 "," 7,652 "," 11,290 "," 11,451 "," 22,741 "," 15,377 "," 15,016 "," 30,394 "
Diyala,ديالى,Baladrooz,بلدروز,Qazanya,قزانية," 3,403 "," 2,969 "," 6,372 "," 3,684 "," 3,736 "," 7,420 "," 7,087 "," 6,705 "," 13,792 "
Diyala,ديالى,Kifri,كفري,Qara Tabe,قرة تبة," 7,015 "," 6,120 "," 13,135 "," 13,039 "," 13,225 "," 26,264 "," 20,054 "," 19,344 "," 39,398 "
Diyala,ديالى,Kifri,كفري,Jabarra,جبارة," 2,413 "," 2,105 "," 4,518 "," 2,473 "," 2,508 "," 4,982 "," 4,886 "," 4,613 "," 9,499 "
Anbar,الأنبار,Ramadi,الرمادي,Markaz Al Ramadi,مركز قضاء الرمادي," 103,610 "," 104,540 "," 208,150 "," 109,244 "," 94,896 "," 204,139 "," 212,854 "," 199,436 "," 412,290 "
Anbar,الأنبار,Ramadi,الرمادي,Al Habbaniya,الحبانية," 14,967 "," 15,101 "," 30,068 "," 54,716 "," 47,530 "," 102,246 "," 69,683 "," 62,631 "," 132,314 "
Anbar,الأنبار,Ramadi,الرمادي,Al Wafa,الوفاء," 2,450 "," 2,472 "," 4,922 "," 2,643 "," 2,296 "," 4,940 "," 5,093 "," 4,768 "," 9,861 "
Anbar,الأنبار,Heet,هيت,Markaz Heet,مركز قضاء هيت," 30,898 "," 31,175 "," 62,073 "," 9,563 "," 8,307 "," 17,870 "," 40,461 "," 39,482 "," 79,943 "
Anbar,الأنبار,Heet,هيت,Al Baghdady,البغدادي," 3,260 "," 3,290 "," 6,550 "," 15,159 "," 13,168 "," 28,326 "," 18,419 "," 16,457 "," 34,876 "
Anbar,الأنبار,Heet,هيت,Kubaisa,كبيسة," 7,887 "," 7,958 "," 15,846 ", 832 , 723 ," 1,555 "," 8,719 "," 8,681 "," 17,400 "
Anbar,الأنبار,Heet,هيت,Al Forat, الفرات," 1,516 "," 1,530 "," 3,047 "," 13,915 "," 12,087 "," 26,002 "," 15,431 "," 13,617 "," 29,049 "
Anbar,الأنبار,Falluja,الفلوجة,Markaz Al Falluja,مركز قضاء الفلوجة," 116,292 "," 117,336 "," 233,628 "," 42,654 "," 37,052 "," 79,706 "," 158,946 "," 154,388 "," 313,334 "
Anbar,الأنبار,Falluja,الفلوجة,Al Amirya,العامرية," 11,146 "," 11,246 "," 22,392 "," 41,777 "," 36,290 "," 78,068 "," 52,923 "," 47,536 "," 100,460 "
Anbar,الأنبار,Falluja,الفلوجة,Al Saglawiah,الصقلاوية," 4,434 "," 4,474 "," 8,909 "," 22,657 "," 19,681 "," 42,339 "," 27,092 "," 24,156 "," 51,247 "
Anbar,الأنبار,Falluja,الفلوجة,Al Garma,الكرمة," 5,440 "," 5,489 "," 10,929 "," 63,484 "," 55,146 "," 118,629 "," 68,924 "," 60,634 "," 129,558 "
Anbar,الأنبار,Ana,عنه,Markaz Ana,مركز قضاء عنه," 9,731 "," 9,819 "," 19,550 "," 5,437 "," 4,723 "," 10,160 "," 15,169 "," 14,542 "," 29,711 "
Anbar,الأنبار,Haditha,حديثة,Markaz Haditha,مركز قضاء حديثة," 21,553 "," 21,747 "," 43,300 "," 2,692 "," 2,339 "," 5,031 "," 24,245 "," 24,085 "," 48,331 "
Anbar,الأنبار,Haditha,حديثة,Al Haqlaniya,الحقلانية," 6,546 "," 6,605 "," 13,152 "," 7,058 "," 6,131 "," 13,190 "," 13,605 "," 12,737 "," 26,341 "
Anbar,الأنبار,Haditha,حديثة,Barwana,بروانة," 7,753 "," 7,822 "," 15,575 "," 4,827 "," 4,193 "," 9,020 "," 12,579 "," 12,015 "," 24,594 "
Anbar,الأنبار,Al-Rutba,الرطبة,Markaz Al Rutba,مركز قضاء الرطبة," 13,171 "," 13,289 "," 26,460 "," 4,675 "," 4,061 "," 8,736 "," 17,846 "," 17,350 "," 35,196 "
Anbar,الأنبار,Al-Rutba,الرطبة,Al Walid,الوليد, 139 , 140 , 279 ," 2,908 "," 2,526 "," 5,434 "," 3,047 "," 2,666 "," 5,713 "
Anbar,الأنبار,Al-Rutba,الرطبة,Al Nakhaeh,النخيب, 985 , 994 ," 1,979 ", 743 , 646 ," 1,389 "," 1,728 "," 1,639 "," 3,367 "
Anbar,الأنبار,Al-Ka'im,القائم,Markaz Al-Ka'im,مركز قضاء القائم," 34,327 "," 34,636 "," 68,963 "," 18,058 "," 15,686 "," 33,744 "," 52,385 "," 50,322 "," 102,707 "
Anbar,الأنبار,Al-Ka'im,القائم,Al Abur,العبور," 5,188 "," 5,235 "," 10,423 "," 14,848 "," 12,898 "," 27,746 "," 20,036 "," 18,133 "," 38,169 "
Anbar,الأنبار,Al-Ka'im,القائم,Al Abidi,العبيدي," 1,039 "," 1,048 "," 2,087 "," 14,223 "," 12,355 "," 26,578 "," 15,262 "," 13,403 "," 28,665 "
Anbar,الأنبار,Ra'ua,راوة,Rawa,مركز قضاء راوة," 8,406 "," 8,482 "," 16,888 "," 2,993 "," 2,600 "," 5,592 "," 11,399 "," 11,082 "," 22,481 "
Baghdad,بغداد,Al Resafa,الرصافة,Markaz Al Resafa,مركز قضاء الرصافة," 57,698 "," 57,987 "," 115,685 ", - , - , - ," 57,698 "," 57,987 "," 115,685 "
Baghdad,بغداد,Al Resafa,الرصافة,Al Karrada Al Sharqia,الكرادة الشرقية," 155,769 "," 156,548 "," 312,317 ", - , - , - ," 155,769 "," 156,548 "," 312,317 "
Baghdad,بغداد,Al Resafa,الرصافة,Baghdad Al Jedeede,بغداد الجديدة," 592,507 "," 595,469 "," 1,187,976 ", - , - , - ," 592,507 "," 595,469 "," 1,187,976 "
Baghdad,بغداد,Al Resafa,الرصافة,Palestine,فلسطين," 45,558 "," 45,785 "," 91,343 ", - , - , - ," 45,558 "," 45,785 "," 91,343 "
Baghdad,بغداد,Adhamia,الاعظمية,Markaz Al Adhamiya,مركز قضاء الاعظمية," 139,841 "," 140,541 "," 280,382 ", - , - , - ," 139,841 "," 140,541 "," 280,382 "
Baghdad,بغداد,Adhamia,الاعظمية,Al Rashdia,الراشدية," 5,195 "," 5,221 "," 10,415 "," 17,329 "," 13,381 "," 30,711 "," 22,524 "," 18,602 "," 41,126 "
Baghdad,بغداد,Adhamia,الاعظمية,Al Fahama,الفحامة," 302,857 "," 304,371 "," 607,228 ", - , - , - ," 302,857 "," 304,371 "," 607,228 "
Baghdad,بغداد,Adhamia,الاعظمية,Al Zuhor,الزهور," 99,996 "," 100,495 "," 200,491 "," 2,980 "," 2,301 "," 5,281 "," 102,976 "," 102,797 "," 205,772 "
Baghdad,بغداد,Sadr 2,الصدر الثانية,Markaz Sadr 2,مركز قضاء الصدر / 2," 21,076 "," 21,181 "," 42,257 ", - , - , - ," 21,076 "," 21,181 "," 42,257 "
Baghdad,بغداد,Sadr 2,الصدر الثانية,Abnaa Al Rafedain,ابناء الرافدين," 75,149 "," 75,525 "," 150,673 ", - , - , - ," 75,149 "," 75,525 "," 150,673 "
Baghdad,بغداد,Sadr 2,الصدر الثانية,Al Monawarah,المنورة," 140,703 "," 141,407 "," 282,110 ", - , - , - ," 140,703 "," 141,407 "," 282,110 "
Baghdad,بغداد,Sadr 1,الصدر الاولى,Markaz Sadr 1,مركز قضاء الصدر / 1," 63,631 "," 63,949 "," 127,580 ", - , - , - ," 63,631 "," 63,949 "," 127,580 "
Baghdad,بغداد,Sadr 1,الصدر الاولى,Al Sadeek Al Akbar,الصديق الاكبر," 84,118 "," 84,538 "," 168,656 ", - , - , - ," 84,118 "," 84,538 "," 168,656 "
Baghdad,بغداد,Sadr 1,الصدر الاولى,Al Forat, الفرات," 185,618 "," 186,546 "," 372,164 ", - , - , - ," 185,618 "," 186,546 "," 372,164 "
Baghdad,بغداد,Al Karkh,الكرخ,Markaz Al Karkh,مركز قضاء الكرخ," 55,440 "," 55,717 "," 111,156 ", - , - , - ," 55,440 "," 55,717 "," 111,156 "
Baghdad,بغداد,Al Karkh,الكرخ,Al Karkh,المنصور," 212,590 "," 213,653 "," 426,244 ", - , - , - ," 212,590 "," 213,653 "," 426,244 "
Baghdad,بغداد,Al Karkh,الكرخ,Al Mamoon,المأمون," 481,951 "," 484,361 "," 966,312 ", - , - , - ," 481,951 "," 484,361 "," 966,312 "
Baghdad,بغداد,Kadhimia,الكاظمية,Markaz Al Kadhimiya,مركز قضاء الكاظمية," 205,809 "," 206,838 "," 412,647 ", - , - , - ," 205,809 "," 206,838 "," 412,647 "
Baghdad,بغداد,Kadhimia,الكاظمية,That al Salasil,ذات السلاسل," 127,427 "," 128,064 "," 255,491 "," 9,327 "," 7,202 "," 16,529 "," 136,754 "," 135,266 "," 272,020 "
Baghdad,بغداد,Kadhimia,الكاظمية,Al Taji,التاجي," 25,581 "," 25,709 "," 51,290 "," 62,310 "," 48,113 "," 110,423 "," 87,891 "," 73,822 "," 161,712 "
Baghdad,بغداد,Mahmoudiya,المحمودية,Markaz Mahmudiya,مركز قضاء المحمودية," 47,729 "," 47,968 "," 95,696 "," 31,614 "," 24,411 "," 56,025 "," 79,343 "," 72,379 "," 151,722 "
Baghdad,بغداد,Mahmoudiya,المحمودية,Al Yousifya,اليوسفية," 7,310 "," 7,347 "," 14,657 "," 64,514 "," 49,815 "," 114,330 "," 71,825 "," 57,162 "," 128,987 "
Baghdad,بغداد,Mahmoudiya,المحمودية,Al Latifya,اللطيفية," 9,118 "," 9,164 "," 18,282 "," 43,987 "," 33,965 "," 77,952 "," 53,106 "," 43,129 "," 96,234 "
Baghdad,بغداد,Mahmoudiya,المحمودية,Al Rasheed,الرشيد," 7,624 "," 7,662 "," 15,285 "," 35,874 "," 27,701 "," 63,575 "," 43,498 "," 35,362 "," 78,860 "
Baghdad,بغداد,Abu Ghraib,أبي غريب,Abu Ghraib,مركز قضاء ابو غريب," 50,945 "," 51,200 "," 102,145 "," 25,270 "," 19,512 "," 44,782 "," 76,215 "," 70,712 "," 146,928 "
Baghdad,بغداد,Abu Ghraib,أبي غريب,Al nasr wa Al Salam,النصر والسلام," 29,922 "," 30,072 "," 59,994 "," 55,021 "," 42,485 "," 97,506 "," 84,943 "," 72,557 "," 157,500 "
Baghdad,بغداد,Tarmia,الطارمية,Markaz Al Tarmiya,مركز قضاء الطارمية," 16,736 "," 16,820 "," 33,556 "," 32,242 "," 24,896 "," 57,138 "," 48,978 "," 41,716 "," 90,694 "
Baghdad,بغداد,Tarmia,الطارمية,Al Mshahadah,المشاهدة, -   , -   , -   ," 17,886 "," 13,811 "," 31,697 "," 17,886 "," 13,811 "," 31,697 "
Baghdad,بغداد,Tarmia,الطارمية,Al Abaigi,العبايجي, -   , -   , -   ," 8,043 "," 6,211 "," 14,254 "," 8,043 "," 6,211 "," 14,254 "
Baghdad,بغداد,Mada'in,المدائن,Markaz Al Mada'in,مركز قضاء المدائن," 13,291 "," 13,357 "," 26,648 "," 27,976 "," 21,602 "," 49,579 "," 41,267 "," 34,959 "," 76,227 "
Baghdad,بغداد,Mada'in,المدائن,Al Jisr,الجسر," 32,714 "," 32,878 "," 65,592 "," 51,140 "," 39,488 "," 90,628 "," 83,854 "," 72,366 "," 156,220 "
Baghdad,بغداد,Mada'in,المدائن,Al Wihda,الوحدة," 52,159 "," 52,420 "," 104,579 "," 54,188 "," 41,842 "," 96,030 "," 106,347 "," 94,261 "," 200,608 "
Babylon,بابل,Hilla,الحلة,Markaz Al Hilla,مركز قضاء الحلة," 199,960 "," 228,502 "," 428,462 "," 64,211 "," 55,923 "," 120,134 "," 264,171 "," 284,425 "," 548,596 "
Babylon,بابل,Hilla,الحلة,Al Kifil,الكفل," 10,023 "," 11,454 "," 21,477 "," 62,644 "," 54,558 "," 117,202 "," 72,667 "," 66,012 "," 138,679 "
Babylon,بابل,Hilla,الحلة,Abu Gharaq,أبي غرق," 11,246 "," 12,852 "," 24,098 "," 44,498 "," 38,755 "," 83,253 "," 55,745 "," 51,606 "," 107,351 "
Babylon,بابل,Mahawil,المحاويل,Markaz Al Mahawil,مركز قضاء المحاويل," 13,667 "," 15,618 "," 29,286 "," 46,066 "," 40,120 "," 86,185 "," 59,733 "," 55,738 "," 115,471 "
Babylon,بابل,Mahawil,المحاويل,Al Mashroo,المشروع," 16,971 "," 19,393 "," 36,364 "," 47,760 "," 41,596 "," 89,356 "," 64,731 "," 60,989 "," 125,720 "
Babylon,بابل,Mahawil,المحاويل,Al Emam,الامام," 5,687 "," 6,499 "," 12,187 "," 12,941 "," 11,270 "," 24,211 "," 18,628 "," 17,769 "," 36,397 "
Babylon,بابل,Mahawil,المحاويل,Al Nil,النيل," 3,057 "," 3,493 "," 6,550 "," 27,621 "," 24,056 "," 51,677 "," 30,678 "," 27,549 "," 58,227 "
Babylon,بابل,Hashimiya,الهاشمية,Markaz Al Hashimiya,مركز قضاء الهاشمية," 16,354 "," 18,688 "," 35,042 ", -   , -   , -   ," 16,354 "," 18,688 "," 35,042 "
Babylon,بابل,Hashimiya,الهاشمية,Al Qasim,القاسم," 35,758 "," 40,862 "," 76,620 "," 42,916 "," 37,377 "," 80,293 "," 78,674 "," 78,239 "," 156,913 "
Babylon,بابل,Hashimiya,الهاشمية,Al Madhatiya,المدحتية," 26,088 "," 29,812 "," 55,900 "," 41,716 "," 36,332 "," 78,048 "," 67,804 "," 66,143 "," 133,947 "
Babylon,بابل,Hashimiya,الهاشمية,Al Shomaly,الشوملي," 7,967 "," 9,104 "," 17,071 "," 36,961 "," 32,190 "," 69,151 "," 44,928 "," 41,294 "," 86,222 "
Babylon,بابل,Hashimiya,الهاشمية,Al taleah,الطليعة," 3,785 "," 4,325 "," 8,110 "," 16,238 "," 14,142 "," 30,380 "," 20,023 "," 18,467 "," 38,490 "
Babylon,بابل,Musayab,المسيب,Markaz Al Musayab,مركز قضاء المسيب," 25,156 "," 28,747 "," 53,904 ", -   , -   , -   ," 25,156 "," 28,747 "," 53,904 "
Babylon,بابل,Musayab,المسيب,Sadat Al Hindiah,سدة الهندية," 14,868 "," 16,990 "," 31,858 "," 44,324 "," 38,603 "," 82,927 "," 59,192 "," 55,593 "," 114,785 "
Babylon,بابل,Musayab,المسيب,Jurf Al Sakhar,جرف الصخر," 2,656 "," 3,036 "," 5,692 "," 21,922 "," 19,092 "," 41,014 "," 24,578 "," 22,128 "," 46,706 "
Babylon,بابل,Musayab,المسيب,Al Iskandaria,الاسكندرية," 44,148 "," 50,449 "," 94,597 "," 33,212 "," 28,925 "," 62,137 "," 77,360 "," 79,374 "," 156,734 "
Kerbala,كربلاء,Kerbala,كربلاء,Markaz Kerbela,مركز قضاء كربلاء," 244,094 "," 209,868 "," 453,962 "," 25,714 "," 26,945 "," 52,659 "," 269,808 "," 236,812 "," 506,621 "
Kerbala,كربلاء,Kerbala,كربلاء,Al Hassainya,الحسينية," 12,460 "," 10,713 "," 23,172 "," 58,842 "," 61,658 "," 120,500 "," 71,302 "," 72,370 "," 143,672 "
Kerbala,كربلاء,Kerbala,كربلاء,Al Hur,الحر," 106,613 "," 91,664 "," 198,277 "," 14,554 "," 15,251 "," 29,805 "," 121,167 "," 106,915 "," 228,082 "
Kerbala,كربلاء,Ain Al-Tamur,عين التمر,Markaz Ain Al Tamur,مركز قضاء عين التمر," 5,073 "," 4,361 "," 9,434 "," 8,465 "," 8,870 "," 17,335 "," 13,537 "," 13,231 "," 26,769 "
Kerbala,كربلاء,Hindiya,الهندية,Markaz Al Hindiya,مركز قضاء الهندية," 42,907 "," 36,891 "," 79,798 "," 15,282 "," 16,013 "," 31,296 "," 58,189 "," 52,904 "," 111,094 "
Kerbala,كربلاء,Hindiya,الهندية,Al Jadwal Al Ghrabi,الجدول الغربي," 3,996 "," 3,436 "," 7,432 "," 35,896 "," 37,613 "," 73,509 "," 39,892 "," 41,049 "," 80,941 "
Kerbala,كربلاء,Hindiya,الهندية,Al Khairat,الخيرات, 770 , 662 ," 1,432 "," 25,657 "," 26,885 "," 52,542 "," 26,427 "," 27,547 "," 53,974 "
Wassit,واسط,Kut,الكوت,Markaz Al Kut,مركز قضاء الكوت," 179,922 "," 179,051 "," 358,972 "," 32,439 "," 30,790 "," 63,229 "," 212,360 "," 209,841 "," 422,201 "
Wassit,واسط,Kut,الكوت,Wasit,واسط," 8,339 "," 8,298 "," 16,637 "," 14,994 "," 14,232 "," 29,227 "," 23,333 "," 22,531 "," 45,863 "
Wassit,واسط,Kut,الكوت,Shaekh Saad,شيخ سعد," 7,543 "," 7,506 "," 15,049 "," 11,863 "," 11,260 "," 23,122 "," 19,405 "," 18,766 "," 38,171 "
Wassit,واسط,Na'maniya,النعمانية,Markaz Al Noamaniya,مركز قضاء النعمانية," 32,799 "," 32,640 "," 65,440 "," 22,715 "," 21,560 "," 44,275 "," 55,514 "," 54,201 "," 109,715 "
Wassit,واسط,Na'maniya,النعمانية,Al Ahrar,الاحرار," 5,452 "," 5,426 "," 10,878 "," 21,901 "," 20,788 "," 42,689 "," 27,353 "," 26,214 "," 53,567 "
Wassit,واسط,Hai,الحي,Markaz Al Hai,امركز قضاء الحي," 39,506 "," 39,314 "," 78,820 "," 6,857 "," 6,509 "," 13,366 "," 46,362 "," 45,823 "," 92,185 "
Wassit,واسط,Hai,الحي,Al Mowafaqiya,الموفقية," 8,253 "," 8,213 "," 16,466 "," 17,288 "," 16,410 "," 33,697 "," 25,541 "," 24,622 "," 50,163 "
Wassit,واسط,Hai,الحي,Al Bashaer,البشائر," 1,442 "," 1,435 "," 2,877 "," 16,816 "," 15,962 "," 32,778 "," 18,258 "," 17,396 "," 35,654 "
Wassit,واسط,Badra,بدرة,Markaz Badra,مركز قضاء بدرة," 3,808 "," 3,790 "," 7,598 "," 3,855 "," 3,659 "," 7,514 "," 7,663 "," 7,449 "," 15,112 "
Wassit,واسط,Badra,بدرة,Jassan,جصان," 2,404 "," 2,392 "," 4,796 "," 3,571 "," 3,390 "," 6,961 "," 5,975 "," 5,782 "," 11,757 "
Wassit,واسط,Badra,بدرة,Al Thahab (Zurbatiah),الذهب (زرباطيه), 150 , 149 , 300 , 192 , 183 , 375 , 342 , 332 , 674 
Wassit,واسط,Suwaira,الصويرة,Markaz Al Suwaira,مركز قضاء الصويرة," 35,657 "," 35,485 "," 71,142 "," 35,992 "," 34,163 "," 70,155 "," 71,649 "," 69,648 "," 141,297 "
Wassit,واسط,Suwaira,الصويرة,Al Zubaidiya,الزبيدية," 9,183 "," 9,139 "," 18,322 "," 17,889 "," 16,980 "," 34,869 "," 27,072 "," 26,119 "," 53,191 "
Wassit,واسط,Suwaira,الصويرة,Al Shehamiya,الشحيمية," 1,972 "," 1,963 "," 3,935 "," 16,196 "," 15,373 "," 31,569 "," 18,168 "," 17,336 "," 35,504 "
Wassit,واسط,Azezia,العزيزية,Al Aziziya,مركز قضاء العزيزية," 25,824 "," 25,699 "," 51,522 "," 24,222 "," 22,991 "," 47,213 "," 50,046 "," 48,690 "," 98,735 "
Wassit,واسط,Azezia,العزيزية,Al Hafriya,تاج الدين (الحفرية)," 19,305 "," 19,212 "," 38,517 "," 19,460 "," 18,471 "," 37,931 "," 38,765 "," 37,683 "," 76,448 "
Wassit,واسط,Azezia,العزيزية,Al Daboni,الدبوني," 1,865 "," 1,856 "," 3,722 "," 9,838 "," 9,338 "," 19,176 "," 11,704 "," 11,195 "," 22,898 "
Salah al-Din,صلاح الدين,Tikrit,تكريت,Markaz Tikrit,مركز قضاء تكريت," 53,476 "," 49,385 "," 102,861 "," 38,780 "," 37,869 "," 76,649 "," 92,256 "," 87,254 "," 179,510 "
Salah al-Din,صلاح الدين,Tikrit,تكريت,Al Alam,العلم," 5,864 "," 5,415 "," 11,279 "," 23,009 "," 22,468 "," 45,478 "," 28,873 "," 27,884 "," 56,756 "
Salah al-Din,صلاح الدين,Tooz,طوز خورماتو,Markaz Tooz,مركز قضاء طوز خورماتو," 50,335 "," 46,485 "," 96,820 "," 9,364 "," 9,144 "," 18,508 "," 59,699 "," 55,628 "," 115,328 "
Salah al-Din,صلاح الدين,Tooz,طوز خورماتو,Al Amerli,آمرلي," 6,854 "," 6,330 "," 13,184 "," 15,533 "," 15,168 "," 30,701 "," 22,387 "," 21,498 "," 43,885 "
Salah al-Din,صلاح الدين,Tooz,طوز خورماتو,Suleiman Beg,سليمان بك," 6,826 "," 6,304 "," 13,130 "," 6,879 "," 6,717 "," 13,596 "," 13,705 "," 13,021 "," 26,726 "
Salah al-Din,صلاح الدين,Samarra,سامراء,Markaz Samera'a,مركز قضاء  سامراء," 71,048 "," 65,613 "," 136,661 "," 31,822 "," 31,074 "," 62,896 "," 102,870 "," 96,688 "," 199,558 "
Salah al-Din,صلاح الدين,Samarra,سامراء,Al Moatassem,المعتصم," 3,809 "," 3,518 "," 7,327 "," 5,071 "," 4,952 "," 10,023 "," 8,880 "," 8,469 "," 17,350 "
Salah al-Din,صلاح الدين,Samarra,سامراء,Samarra,دجلة, 866 , 799 ," 1,665 "," 7,990 "," 7,802 "," 15,792 "," 8,855 "," 8,601 "," 17,457 "
Salah al-Din,صلاح الدين,Balad,بلد,Markaz Balad,مركز قضاء بلد," 29,418 "," 27,167 "," 56,585 "," 10,927 "," 10,670 "," 21,597 "," 40,344 "," 37,837 "," 78,182 "
Salah al-Din,صلاح الدين,Balad,بلد,Al Duloeyah,الضلوعية," 8,829 "," 8,153 "," 16,982 "," 24,083 "," 23,517 "," 47,600 "," 32,911 "," 31,670 "," 64,582 "
Salah al-Din,صلاح الدين,Balad,بلد,Al Esshaqi,الإسحاقي," 2,111 "," 1,949 "," 4,060 "," 21,543 "," 21,037 "," 42,579 "," 23,653 "," 22,986 "," 46,639 "
Salah al-Din,صلاح الدين,Balad,بلد,Yathreb,يثرب," 1,120 "," 1,034 "," 2,154 "," 37,753 "," 36,866 "," 74,620 "," 38,873 "," 37,901 "," 76,774 "
Salah al-Din,صلاح الدين,Baiji,بيجي,Markaz Baiji,مركز قضاء بيجي," 40,693 "," 37,580 "," 78,273 "," 47,779 "," 46,657 "," 94,436 "," 88,472 "," 84,237 "," 172,709 "
Salah al-Din,صلاح الدين,Baiji,بيجي,Al Siniya,الصينية," 15,915 "," 14,697 "," 30,612 "," 3,200 "," 3,125 "," 6,325 "," 19,115 "," 17,822 "," 36,937 "
Salah al-Din,صلاح الدين,Daur,الدور,Markaz Al Daur,مركز قضاء الدور," 11,200 "," 10,343 "," 21,544 "," 23,114 "," 22,571 "," 45,684 "," 34,314 "," 32,914 "," 67,228 "
Salah al-Din,صلاح الدين,Shirqat,الشرقاط,Markaz Al Shirqat,مركز قضاء الشرقاط," 26,810 "," 24,759 "," 51,568 "," 77,985 "," 76,153 "," 154,137 "," 104,794 "," 100,911 "," 205,705 "
Salah al-Din,صلاح الدين,Al Dujeel,الدجيل,Markaz Al Dujeel,مركز قضاء الدجيل," 17,854 "," 16,488 "," 34,342 "," 35,156 "," 34,330 "," 69,486 "," 53,010 "," 50,818 "," 103,828 "
