gov_en,gov_ar,dis_en,dis_ar,subdistrict_en,subdistrict_ar,male.urban,female.urban ,total.urban,male.rural,female_rural,total.rural,male.pop,female.pop,total.pop
Sulaymaniyah,السليمانية,Shahrazur,شارة زوور,Halabjataza,هلا بجة تازة," 21,510 "," 20,614 "," 42,124 ", -   , -   , -   ," 21,510 "," 20,614 "," 42,124 "
Sulaymaniyah,السليمانية,Shahrazur,شارة زوور,Warmawa,وارماوا," 8,147 "," 7,808 "," 15,955 "," 4,102 "," 4,141 "," 8,244 "," 12,250 "," 11,949 "," 24,199 "
Sulaymaniyah,السليمانية,Said Sadek,سيد صادق,Markaz Said Sadek,مركز قضاء سيد صادق," 29,900 "," 28,655 "," 58,555 "," 9,830 "," 9,923 "," 19,753 "," 39,730 "," 38,578 "," 78,308 "
Sulaymaniyah,السليمانية,Said Sadek,سيد صادق,Sirjok,سرجوك, 297 , 285 , 582 ," 1,650 "," 1,666 "," 3,315 "," 1,947 "," 1,950 "," 3,898 "
Sulaymaniyah,السليمانية,Halabja,هة لة بجة,Markaz Halabja,مركز قضاء هة لة بجة," 32,593 "," 31,236 "," 63,829 ", -   , -   , -   ," 32,593 "," 31,236 "," 63,829 "
Sulaymaniyah,السليمانية,Halabja,هة لة بجة,Sirwan,سيروان," 3,964 "," 3,799 "," 7,762 "," 1,946 "," 1,964 "," 3,911 "," 5,910 "," 5,763 "," 11,673 "
Sulaymaniyah,السليمانية,Halabja,هة لة بجة,Khurman,خورمال," 5,786 "," 5,545 "," 11,331 "," 4,464 "," 4,506 "," 8,970 "," 10,250 "," 10,051 "," 20,301 "
Sulaymaniyah,السليمانية,Halabja,هة لة بجة,Biyara,بيارا," 2,728 "," 2,614 "," 5,342 ", 835 , 843 ," 1,678 "," 3,563 "," 3,457 "," 7,020 "
Sulaymaniyah,السليمانية,Penjwin,بنجوين,Markaz Penjwin,مركز قضاء بنجوين," 11,573 "," 11,091 "," 22,664 "," 1,979 "," 1,998 "," 3,977 "," 13,552 "," 13,089 "," 26,642 "
Sulaymaniyah,السليمانية,Penjwin,بنجوين,Garmik,كرمك, 366 , 351 , 718 ," 4,874 "," 4,920 "," 9,794 "," 5,241 "," 5,271 "," 10,512 "
Sulaymaniyah,السليمانية,Penjwin,بنجوين,Talbariz,تالباريز, 247 , 237 , 483 ," 2,684 "," 2,710 "," 5,394 "," 2,931 "," 2,946 "," 5,878 "
Sulaymaniyah,السليمانية,Sharbazher,شاربازير,Gwarth,جوارتة," 2,724 "," 2,611 "," 5,335 "," 1,549 "," 1,563 "," 3,112 "," 4,273 "," 4,174 "," 8,447 "
Sulaymaniyah,السليمانية,Sharbazher,شاربازير,Siotel,سيوتيل, 87 , 83 , 170 ," 1,080 "," 1,090 "," 2,170 "," 1,167 "," 1,173 "," 2,340 "
Sulaymaniyah,السليمانية,Sharbazher,شاربازير,Saruchik,سيتك, 279 , 267 , 545 ," 1,607 "," 1,623 "," 3,230 "," 1,886 "," 1,889 "," 3,775 "
Sulaymaniyah,السليمانية,Sharbazher,شاربازير,Zahlan,زة لان, 74 , 71 , 145 , 720 , 726 ," 1,446 ", 793 , 797 ," 1,591 "
Sulaymaniyah,السليمانية,Sharbazher,شاربازير,Kabilon,كابيلون, 245 , 235 , 480 ," 1,548 "," 1,562 "," 3,110 "," 1,793 "," 1,797 "," 3,590 "
Sulaymaniyah,السليمانية,Mawat,ماوت,Markaz Mawat,مركز قضاء ماوت, 748 , 716 ," 1,464 "," 3,600 "," 3,634 "," 7,235 "," 4,348 "," 4,351 "," 8,699 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Galadiz,ناحية قة لادزا," 35,873 "," 34,379 "," 70,253 "," 1,765 "," 1,782 "," 3,547 "," 37,638 "," 36,161 "," 73,799 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Hero,هيرو, 320 , 306 , 626 , 597 , 603 ," 1,200 ", 917 , 909 ," 1,826 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Hilsho,هة لشو," 1,414 "," 1,355 "," 2,770 "," 2,705 "," 2,730 "," 5,435 "," 4,119 "," 4,086 "," 8,205 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Tharaw,ذاراو," 4,383 "," 4,200 "," 8,583 "," 2,680 "," 2,705 "," 5,385 "," 7,063 "," 6,906 "," 13,969 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Nawdasht,ناو دشت," 4,833 "," 4,632 "," 9,465 "," 6,467 "," 6,528 "," 12,995 "," 11,300 "," 11,160 "," 22,460 "
Sulaymaniyah,السليمانية,Pshdar,بشدر,Iswi,ئيسيوي, 347 , 333 , 680 , 918 , 927 ," 1,845 "," 1,265 "," 1,260 "," 2,525 "
Sulaymaniyah,السليمانية,Rania,رانية,Markaz Rania,مركز قضاء رانية," 44,627 "," 42,768 "," 87,395 "," 2,140 "," 2,161 "," 4,301 "," 46,767 "," 44,929 "," 91,696 "
Sulaymaniyah,السليمانية,Rania,رانية,Gwargorna,جوار قورنة," 21,978 "," 21,062 "," 43,040 "," 3,721 "," 3,756 "," 7,476 "," 25,698 "," 24,818 "," 50,516 "
Sulaymaniyah,السليمانية,Rania,رانية,Hajiawa,حاجي ئاوا," 26,057 "," 24,972 "," 51,028 "," 1,975 "," 1,994 "," 3,969 "," 28,032 "," 26,966 "," 54,998 "
Sulaymaniyah,السليمانية,Rania,رانية,Betwata,بيتو اتة," 7,005 "," 6,713 "," 13,718 "," 2,358 "," 2,380 "," 4,738 "," 9,363 "," 9,093 "," 18,456 "
