"","Governorate","base2","total","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"3","Dahuk","KRI",443610,58464,106392,278754,278742,71736,34656,34938,108126,106080,29610
"4","Erbil","KRI",156084,504,109242,46338,46278,8748,100494,20550,23220,2568,0
"5","Sulaymaniyah","KRI",97194,372,89796,7026,6876,624,89172,774,4290,1962,0
