"","Row.names","Governorate","District","Place","Longitude","Latitude","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1769","888","Baghdad","Karkh","Al Yarmouk - 616",44.345894,33.32011435,120,20,0,0,0,0,0,0,0,0,888,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1770","889","Baghdad","Karkh","Al Ghazaliya - 681",44.3458944,33.32011446,840,140,0,0,0,0,0,0,0,0,889,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1771","89","Basrah","Basrah","Sabkhat al-arab",47.805278,30.508056,12,2,0,0,0,0,0,0,0,0,89,41.8,6.9,33.7,13.6,151,33,0,93,86,0,0,84,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1772","890","Baghdad","Karkh","Al Ghazaliyah - 685",44.3458944,33.32011446,486,81,0,0,0,0,0,0,0,0,890,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1773","891","Baghdad","Karkh","Al Yarmouk - 610",44.3458944,33.32011446,30,5,0,0,0,0,0,0,0,0,891,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1774","892","Baghdad","Karkh","Al Yarmouk - 612",44.3458944,33.32011446,102,17,0,0,0,0,0,0,0,0,892,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1775","893","Baghdad","Karkh","Al iskan - 613",44.3458944,33.32011446,30,5,0,0,0,0,0,0,0,0,893,43.4,4.2,33.4,11.2,156,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1776","894","Baghdad","Al Resafa","Al Muthana - 716",44.462978,33.320336,72,12,0,0,0,0,0,0,0,0,894,43.5,4.3,33.5,11.3,160,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1777","895","Baghdad","Al Resafa","Al muthana - 710",44.462978,33.320336,126,21,0,0,0,0,0,0,0,0,895,43.5,4.3,33.5,11.3,160,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1778","896","Anbar","Falluja","Neeamiya",43.791429,33.320545,2760,460,0,330,30,90,0,0,0,0,896,43.5,3.8,33.5,10.9,129,23,0,86,65,0,0,61,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1779","897","Baghdad","Al Resafa","Al Mashtal - 729",44.501263,33.322045,156,26,0,0,0,0,0,0,0,0,897,43.5,4.3,33.5,11.3,161,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
