"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"479","Basrah","Al-Zubair","Hay Al Hussain",47.7314,30.3816,"1277","Rest of Iraq",12,2,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0
"480","Basrah","Basrah","Hay Tariq",47.7582,30.5489,"1282","Rest of Iraq",18,3,6,0,0,0,0,0,0,0,12,6,0,12,0,0,6,0,0
"481","Basrah","Basrah","Door Al-Sho'oen",47.810277,30.494166,"1284","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0
"482","Basrah","Al-Zubair","Khor Al zubir",47.77,30.225,"1286","Rest of Iraq",48,8,0,0,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0
"483","Basrah","Basrah","Al Jaza'ir",47.83277778,30.50361111,"1294","Rest of Iraq",60,10,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0
"484","Basrah","Basrah","Door Al Dubbat",47.78916667,30.53638889,"1295","Rest of Iraq",54,9,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,0,0
"485","Basrah","Basrah","Al Tameemiya",47.82916667,30.52694444,"1296","Rest of Iraq",24,4,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0
"486","Basrah","Al-Zubair","Door Al Sakak",47.64722222,30.47416667,"1297","Rest of Iraq",30,5,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0
"487","Basrah","Al-Zubair","Hay Al Shuhada'a",47.72333333,30.37083333,"1301","Rest of Iraq",60,10,0,0,0,0,0,0,0,0,60,0,0,18,42,0,0,0,0
"488","Basrah","Basrah","Al-Mishraq Al-Jadeed",47.81277778,30.48472222,"1306","Rest of Iraq",48,8,0,0,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0
"489","Basrah","Basrah","Al-Baker & Al-Ahrar",47.81277778,30.50166667,"1308","Rest of Iraq",78,13,0,0,0,0,0,0,0,0,78,0,0,78,0,0,0,0,0
"490","Basrah","Al-Zubair","Hay Al-Ansar",47.72277778,30.37527778,"1309","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"491","Basrah","Basrah","Al Qabla \\ Hay Al Baladiyat",47.80416667,30.46444444,"1310","Rest of Iraq",6,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"492","Qadissiya","Al-Shamiya","Hawy",44.596111,31.758056,"2459","Rest of Iraq",234,39,0,0,174,0,0,0,0,0,60,174,120,60,0,174,0,0,0
"493","Qadissiya","Hamza","Al-subah",44.9375,31.818333,"2518","Rest of Iraq",138,23,0,0,120,0,0,0,0,0,18,120,120,18,0,120,0,0,0
"494","Qadissiya","Hamza","Al-suraa",44.923333,31.835278,"2539","Rest of Iraq",132,22,0,0,132,0,0,0,0,0,0,132,132,0,0,132,0,0,0
"495","Qadissiya","Diwaniya","Albu Khnefis village",44.841918,32.020337,"2621","Rest of Iraq",300,50,0,0,60,120,0,0,0,0,120,180,120,120,0,60,120,0,0
"496","Qadissiya","Diwaniya","Al-tharwa al- alhaiwaniya",44.753611,31.941667,"2705","Rest of Iraq",156,26,0,0,120,0,0,0,0,0,36,120,120,36,0,120,0,0,0
"497","Qadissiya","Diwaniya","Al-shuhada",44.839722,31.950833,"2729","Rest of Iraq",18,3,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0
"498","Qadissiya","Al-Shamiya","Hay al-husien",44.586667,31.956667,"2741","Rest of Iraq",90,15,0,0,66,0,0,0,0,0,24,66,66,24,0,66,0,0,0
"499","Qadissiya","Al-Shamiya","Al-aaskary al-gharby",44.594722,31.959444,"2749","Rest of Iraq",360,60,0,0,252,0,0,0,0,0,108,252,252,78,30,252,0,0,0
"500","Qadissiya","Al-Shamiya","Mahlat al-souq",44.601389,31.963333,"2766","Rest of Iraq",528,88,0,0,240,0,0,0,0,0,288,240,240,180,108,240,0,0,0
"501","Qadissiya","Afaq","Hay Al-Salam (Random Area)",45.413611,31.972222,"2803","Rest of Iraq",360,60,0,0,0,120,0,0,0,0,240,120,0,180,60,0,120,0,0
"502","Qadissiya","Diwaniya","Al-Jazaair 2",44.908333,31.987778,"2885","Rest of Iraq",108,18,0,0,0,0,0,0,0,0,108,0,0,36,72,0,0,0,0
"503","Qadissiya","Diwaniya","A'l hamad",44.995,32.0025,"2943","Rest of Iraq",420,70,0,0,168,18,0,42,0,0,192,228,120,138,54,168,18,0,42
"504","Qadissiya","Diwaniya","`al-khalifa",44.822222,32.021111,"3011","Rest of Iraq",360,60,0,0,300,0,0,0,0,0,60,300,300,60,0,300,0,0,0
"505","Qadissiya","Diwaniya","Hay Al-Askaary",44.929,32.137,"3308","Rest of Iraq",300,50,0,0,0,162,0,24,0,0,114,186,150,72,42,0,162,0,24
"506","Qadissiya","Afaq","Hay Al-Askari",45.25777778,32.05611111,"3362","Rest of Iraq",288,48,0,0,0,0,0,120,0,0,168,120,90,90,78,0,0,0,120
"507","Qadissiya","Diwaniya","Al-Sadiq (1)",44.93361111,31.99111111,"3364","Rest of Iraq",180,30,0,0,0,0,0,0,0,0,180,0,0,90,90,0,0,0,0
"508","Qadissiya","Diwaniya","Hay Al-Dhubat  2",44.93333333,32.00166667,"3367","Rest of Iraq",132,22,0,0,0,0,0,0,0,0,132,0,0,6,126,0,0,0,0
"509","Qadissiya","Afaq","Hay Al-Waili",45.25361111,32.06277778,"3368","Rest of Iraq",480,80,0,0,120,120,0,0,0,0,240,240,240,120,120,120,120,0,0
"510","Qadissiya","Diwaniya","AL-Jamiyah   2",44.9309,32.00085,"3381","Rest of Iraq",24,4,0,0,0,0,0,0,0,0,24,0,0,12,12,0,0,0,0
"511","Qadissiya","Diwaniya","Hay AL-Amel",44.856,32.00533,"3386","Rest of Iraq",120,20,0,0,90,0,0,0,0,0,30,90,90,30,0,90,0,0,0
"512","Qadissiya","Afaq","AL-Qati",45.23145,32.06052,"3392","Rest of Iraq",660,110,0,0,240,60,0,156,0,0,204,456,300,54,150,240,60,0,156
"513","Babylon","Hilla","Al-'iefar",44.278889,32.488889,"6324","Rest of Iraq",60,10,0,0,0,0,0,0,0,0,60,0,0,60,0,0,0,0,0
"514","Babylon","Al-Musayab","Hay al-askary",44.258611,32.546944,"6334","Rest of Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515","Babylon","Hashimiya","Al Qasim - Al Askari",44.67,32.3,"6361","Rest of Iraq",204,34,0,0,0,66,0,0,0,0,138,66,66,132,6,0,66,0,0
"516","Babylon","Al-Mahawil","An Nil",44.55,32.52,"6363","Rest of Iraq",264,44,0,0,0,0,0,0,0,0,264,0,0,264,0,0,0,0,0
"517","Babylon","Al-Mahawil","Jabla Al Imam Village",44.5,32.66,"6365","Rest of Iraq",402,67,0,0,0,0,0,0,0,0,402,0,0,402,0,0,0,0,0
"518","Babylon","Al-Musayab","Awlad Kazim",44.32,32.69,"6376","Rest of Iraq",102,17,0,0,0,0,0,0,0,0,102,0,0,102,0,0,0,0,0
"519","Babylon","Al-Mahawil","Sabbaghiyah",44.47,32.65,"6459","Rest of Iraq",78,13,0,0,36,0,0,0,0,0,42,36,0,42,0,36,0,0,0
"520","Babylon","Al-Musayab","Saddat al Hindiyah - Al offi",44.28,32.71,"6461","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"521","Babylon","Hilla","Al-mi'amrah",44.365278,32.236389,"6600","Rest of Iraq",78,13,0,0,78,0,0,0,0,0,0,78,78,0,0,78,0,0,0
"522","Babylon","Hashimiya","Al-khiweldiyah",44.689167,32.276111,"6640","Rest of Iraq",156,26,0,0,0,0,0,0,0,150,6,0,0,6,0,0,0,0,0
"523","Babylon","Hashimiya","Hay khirbatt",44.681389,32.295,"6663","Rest of Iraq",522,87,0,0,168,0,0,0,0,0,354,168,168,354,0,168,0,0,0
"524","Babylon","Hashimiya","Al-mazeiadeiah",44.628611,32.378056,"6769","Rest of Iraq",192,32,0,0,0,0,0,0,0,78,114,0,0,114,0,0,0,0,0
"525","Babylon","Al-Musayab","Sadat Al-Ameir",44.275847,32.752097,"6950","Rest of Iraq",12,2,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0
"526","Babylon","Al-Musayab","Hay Al-Shuhada'a",44.387352,32.878442,"6955","Rest of Iraq",24,4,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0
"527","Babylon","Al-Musayab","Hay al-hussein",44.418056,32.477778,"7001","Rest of Iraq",18,3,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0
"528","Babylon","Hilla","Abi gharaq al-awsatt",44.355833,32.481944,"7011","Rest of Iraq",144,24,0,0,48,0,0,0,0,48,48,48,0,48,0,48,0,0,0
"529","Babylon","Al-Mahawil","Abo nafa'a",44.524444,32.506667,"7064","Rest of Iraq",102,17,0,0,0,0,0,0,0,0,102,0,0,102,0,0,0,0,0
"530","Babylon","Al-Musayab","Mutaqa'edeen neighborhood",44.290741,32.757743,"7126","Rest of Iraq",222,37,0,0,0,0,0,0,0,0,222,0,0,90,132,0,0,0,0
"531","Babylon","Al-Musayab","Hur Husaein",44.281701,32.772231,"7132","Rest of Iraq",282,47,0,0,150,0,0,0,0,0,132,150,150,66,66,150,0,0,0
"532","Babylon","Hilla","Anana village",44.412,32.53,"7137","Rest of Iraq",120,20,0,0,0,0,0,0,0,0,120,0,0,114,6,0,0,0,0
"533","Babylon","Hashimiya","Hay Al- Jamiea",44.7126,32.19696,"7140","Rest of Iraq",18,3,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0
"534","Babylon","Hilla","Hamza Al Dali Village",44.38261,32.24419,"7143","Rest of Iraq",66,11,0,0,0,0,0,0,0,0,66,0,0,66,0,0,0,0,0
"535","Babylon","Hilla","Hay Al-Muharbeen",44.412674,32.488572,"7145","Rest of Iraq",132,22,0,0,0,0,0,0,0,0,132,0,0,132,0,0,0,0,0
"536","Babylon","Al-Mahawil","Hay Al-Risala 1",44.64305556,32.5275,"7147","Rest of Iraq",174,29,0,0,0,0,0,0,0,0,174,0,0,162,12,0,0,0,0
"537","Babylon","Al-Musayab","Hitten Complex",44.348053,32.885117,"7149","Rest of Iraq",42,7,0,0,0,0,0,0,0,0,42,0,0,0,42,0,0,0,0
"538","Babylon","Hilla","Al- Jamiea'",44.43861111,32.47138889,"7151","Rest of Iraq",120,20,0,0,102,0,0,0,0,0,18,102,102,18,0,102,0,0,0
"539","Babylon","Hilla","Al-Shawi",44.323957,32.40428,"7154","Rest of Iraq",294,49,0,0,0,0,0,0,0,78,216,0,0,216,0,0,0,0,0
"540","Babylon","Hilla","Al-Thawra Al-Sharqia",44.43055556,32.46666667,"7155","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"541","Babylon","Hashimiya","Hay Al-Zahra'a",44.6775,32.29944444,"7160","Rest of Iraq",108,18,0,0,0,0,0,0,0,78,30,0,0,30,0,0,0,0,0
"542","Babylon","Hilla","Singar",44.41,32.529,"7166","Rest of Iraq",72,12,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0,0,0
"543","Babylon","Hilla","Hay Al Karamah 1",44.4156,32.484,"7171","Rest of Iraq",102,17,0,0,0,0,0,0,0,0,102,0,0,96,6,0,0,0,0
"544","Babylon","Hilla","Hay Al-Muhandiseen 2",44.402,32.4536,"7174","Rest of Iraq",384,64,0,0,78,0,0,0,0,0,306,78,78,288,18,78,0,0,0
"545","Babylon","Hilla","Al-Askari - Al Mashtal",44.395,32.441,"7177","Rest of Iraq",408,68,0,0,66,0,0,0,0,0,342,66,66,324,18,66,0,0,0
"546","Babylon","Al-Musayab","Hay Al-Mustafa",44.388,32.457,"7196","Rest of Iraq",78,13,0,0,0,0,0,0,0,0,78,0,0,36,42,0,0,0,0
"547","Babylon","Hilla","Hay Al-Zahra'a",44.312616,32.434738,"7212","Rest of Iraq",126,21,0,0,36,0,0,0,0,30,60,36,0,60,0,36,0,0,0
"548","Babylon","Hashimiya","Hay Um Ayash",44.68,32.29,"7213","Rest of Iraq",282,47,0,0,282,0,0,0,0,0,0,282,282,0,0,282,0,0,0
"549","Babylon","Hilla","Hor Al Sultan",44.395,32.286,"7222","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"550","Babylon","Al-Mahawil","Al-Shakiria",44.4,32.645,"7232","Rest of Iraq",90,15,0,0,0,0,0,0,0,0,90,0,0,90,0,0,0,0,0
"551","Babylon","Hashimiya","Hay Al-Mustafa",44.652,32.36,"7234","Rest of Iraq",90,15,0,0,0,0,0,0,0,0,90,0,0,90,0,0,0,0,0
"552","Babylon","Hashimiya","Hay Al-Sadiq",44.653,32.372,"7235","Rest of Iraq",36,6,0,0,0,0,0,0,0,0,36,0,0,36,0,0,0,0,0
"553","Baghdad","Abu Ghraib","Abu Gharaib",44.02,33.3,"7260","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"554","Baghdad","Adhamia","Qahira",44.39,33.38,"7268","Rest of Iraq",18,3,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0
"555","Baghdad","Adhamia","Waziriya",44.39,33.36,"7269","Rest of Iraq",18,3,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0
"556","Baghdad","Adhamia","Tunis",44.36,33.4,"7270","Rest of Iraq",30,5,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0
"557","Baghdad","Kadhimia","Zahra'",44.33,33.37,"7285","Rest of Iraq",246,41,0,0,0,0,0,0,0,0,246,0,0,24,222,0,0,0,0
"558","Baghdad","Karkh","Masafee",44.4,33.25,"7309","Rest of Iraq",5484,914,0,0,0,0,0,0,0,0,5484,0,0,4884,600,0,0,0,0
"559","Baghdad","Al Resafa","Diyala",44.5,33.25,"7320","Rest of Iraq",12,2,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0
"560","Baghdad","Mahmoudiya","Ridwaniyah",44.02,33.18,"7360","Rest of Iraq",2082,347,0,0,0,0,0,0,0,0,2082,0,0,444,1638,0,0,0,0
"561","Baghdad","Al Resafa","Adhamiyah",44.357439,33.365759,"7386","Rest of Iraq",30,5,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0
"562","Baghdad","Karkh","`Uwayrij",44.36,33.19,"7410","Rest of Iraq",564,94,0,0,0,54,0,0,0,66,444,54,0,444,0,0,54,0,0
"563","Baghdad","Mada'in","Nahrawan",44.49,33.19,"7497","Rest of Iraq",1032,172,0,54,120,0,0,0,0,0,858,174,120,858,0,120,0,54,0
"564","Baghdad","Karkh","Hay Al Jehad",44.29,33.27,"7499","Rest of Iraq",630,105,0,0,0,0,0,0,0,0,630,0,0,630,0,0,0,0,0
"565","Baghdad","Adhamia","AL Sha'b",44.4,33.41,"7500","Rest of Iraq",342,57,0,0,0,0,0,0,0,0,342,0,0,342,0,0,0,0,0
"566","Baghdad","Al Resafa","Hay Ur",44.421682,33.417951,"7504","Rest of Iraq",300,50,0,0,300,0,0,0,0,0,0,300,300,0,0,300,0,0,0
"567","Baghdad","Al Resafa","Bob Al Sham",44.38,33.46,"7514","Rest of Iraq",72,12,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0,0,0
"568","Baghdad","Karkh","Al Bayaa'",44.34,33.27,"7515","Rest of Iraq",126,21,0,0,0,0,0,0,0,0,126,0,0,126,0,0,0,0,0
"569","Baghdad","Adhamia","Al-Hussainiya",44.33,33.58,"7517","Rest of Iraq",42,7,0,0,0,0,0,0,0,0,42,0,0,42,0,0,0,0,0
"570","Baghdad","Karkh","AL Horeya",44.31,33.36,"7527","Rest of Iraq",624,104,0,132,0,0,0,0,0,0,492,132,132,492,0,0,0,132,0
"571","Baghdad","Karkh","Al Saydeya",44.35,33.24,"7528","Rest of Iraq",108,18,0,0,0,0,0,0,0,0,108,0,0,108,0,0,0,0,0
"572","Baghdad","Karkh","Al Yarmok",44.33,33.29,"7534","Rest of Iraq",90,15,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0
"573","Baghdad","Karkh","Al-A'mel",44.32,33.27,"7537","Rest of Iraq",144,24,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,0
"574","Baghdad","Kadhimia","Al Salam",44.34,33.34,"7544","Rest of Iraq",690,115,0,0,0,0,0,0,0,108,582,0,0,54,528,0,0,0,0
"575","Baghdad","Abu Ghraib","Hay Al-Shuhada'a",44.02,33.3,"7553","Rest of Iraq",4800,800,0,0,0,0,0,0,0,0,4800,0,0,1914,2886,0,0,0,0
"576","Baghdad","Karkh","A'rab jboor",44.4473,33.245,"7577","Rest of Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"577","Baghdad","Al Resafa","Al Baidha'a",44.418818,33.386262,"7580","Rest of Iraq",24,4,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0
"578","Baghdad","Karkh","Hoor Rajab",44.409435,33.19204,"7583","Rest of Iraq",1680,280,0,0,0,60,0,0,0,0,1620,60,0,1620,0,0,60,0,0
"579","Baghdad","Karkh","Albo_A'itha",44.447909,33.263664,"7584","Rest of Iraq",108,18,0,0,0,0,0,0,0,0,108,0,0,108,0,0,0,0,0
"580","Baghdad","Abu Ghraib","Hay Al Zaitoon",44.20194444,33.31055556,"7623","Rest of Iraq",600,100,0,0,0,0,0,0,0,0,600,0,0,150,450,0,0,0,0
"581","Baghdad","Abu Ghraib","Al-Nasir Walsalam /3000",44.029029,33.309256,"7626","Rest of Iraq",1368,228,0,0,0,0,0,0,0,594,774,0,0,504,270,0,0,0,0
"582","Baghdad","Mada'in","Diyalla Bridge",44.58111111,33.09888889,"7630","Rest of Iraq",732,122,0,300,432,0,0,0,0,0,0,732,732,0,0,432,0,300,0
"583","Baghdad","Karkh","Hay al jam'iyah - 842",44.42222222,33.25527778,"7640","Rest of Iraq",336,56,0,0,0,0,0,0,0,78,258,0,0,138,120,0,0,0,0
"584","Baghdad","Kadhimia","Naji al rahal village",44.25611111,33.49805556,"7642","Rest of Iraq",336,56,0,0,0,0,0,42,0,0,294,42,0,294,0,0,0,0,42
"585","Baghdad","Al Resafa","Saba' Eqssuor",44.439423,33.438583,"7646","Rest of Iraq",78,13,0,0,0,0,0,0,0,0,78,0,0,78,0,0,0,0,0
"586","Baghdad","Abu Ghraib","Al-Resalah",44.02,33.3,"7658","Rest of Iraq",1068,178,0,0,0,0,0,0,0,468,600,0,0,120,480,0,0,0,0
"587","Baghdad","Abu Ghraib","Al-Dhahab Al-Abyadh",44.04,33.25,"7662","Rest of Iraq",900,150,0,0,0,0,0,0,0,0,900,0,0,270,630,0,0,0,0
"588","Baghdad","Abu Ghraib","1 Huzairan",44.185298,33.303123,"7671","Rest of Iraq",600,100,0,0,0,0,0,0,0,0,600,0,0,0,600,0,0,0,0
"589","Baghdad","Adhamia","Bob Al Sham",44.385,33.46583333,"7674","Rest of Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590","Baghdad","Kadhimia","Mousa Al Kadem complex",44.30833333,33.40222222,"7683","Rest of Iraq",330,55,0,0,0,0,0,0,0,0,330,0,0,12,318,0,0,0,0
"591","Baghdad","Karkh","Um Ma'alef",44.334981,33.218416,"7692","Rest of Iraq",360,60,0,126,66,0,0,0,0,0,168,192,192,168,0,66,0,126,0
"592","Baghdad","Abu Ghraib","Khernabat (North-South)",44.2,33.31,"7709","Rest of Iraq",990,165,0,0,0,0,0,0,0,90,900,0,0,270,630,0,0,0,0
"593","Baghdad","Al Resafa","Za'franiyah (Munjid complex)",44.47,33.24,"7716","Rest of Iraq",42,7,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"594","Baghdad","Adhamia","Adhamia 308",44.367275,33.376913,"7717","Rest of Iraq",114,19,0,0,0,0,0,0,0,0,114,0,0,72,42,0,0,0,0
"595","Baghdad","Adhamia","Adhamia 312",44.3627,33.372167,"7730","Rest of Iraq",534,89,0,0,0,0,0,0,0,0,534,0,0,318,216,0,0,0,0
"596","Baghdad","Karkh","Al Shabab",44.3325,33.23944444,"7741","Rest of Iraq",126,21,0,0,0,0,0,0,0,0,126,0,0,126,0,0,0,0,0
"597","Baghdad","Adhamia","Fahama (Abo qumira village)",44.35194444,33.4575,"7750","Rest of Iraq",90,15,0,0,0,0,0,0,0,0,90,0,0,90,0,0,0,0,0
"598","Thi-Qar","Al-Chibayish","Chibayish",47,31,"8883","Rest of Iraq",30,5,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0
"599","Thi-Qar","Nassriya","Al Batha'",45.88,31.1,"8884","Rest of Iraq",288,48,0,0,24,0,0,0,0,0,264,24,0,216,48,24,0,0,0
"600","Thi-Qar","Al-Shatra","Al Gharraf",46.25,31.3,"8886","Rest of Iraq",150,25,0,0,0,0,0,0,0,0,150,0,0,120,30,0,0,0,0
"601","Thi-Qar","Al-Shatra","Al Dawaya",46.38,31.49,"8888","Rest of Iraq",210,35,0,0,90,0,0,0,0,0,120,90,90,90,30,90,0,0,0
"602","Thi-Qar","Al-Rifa'i","Refai",46.1,31.71,"8889","Rest of Iraq",492,82,0,0,210,0,0,0,0,0,282,210,210,150,132,210,0,0,0
"603","Thi-Qar","Al-Rifa'i","Qal at Sukhar",46.08,31.85,"9040","Rest of Iraq",84,14,0,0,0,0,0,0,0,0,84,0,0,60,24,0,0,0,0
"604","Thi-Qar","Al-Rifa'i","An Nasr",46.11,31.53,"9096","Rest of Iraq",216,36,0,0,42,0,0,0,0,0,174,42,0,144,30,42,0,0,0
"605","Thi-Qar","Nassriya","Ur",46.12,30.95,"9113","Rest of Iraq",360,60,0,0,0,0,0,0,0,0,360,0,0,246,114,0,0,0,0
"606","Thi-Qar","Suq Al-Shoyokh","Al Esma'elya 2",46.458757,30.901737,"9206","Rest of Iraq",90,15,0,0,60,0,0,0,0,0,30,60,0,0,30,60,0,0,0
"607","Thi-Qar","Suq Al-Shoyokh","Hey al-zahra'a",46.575,30.8825,"9258","Rest of Iraq",372,62,0,0,54,0,0,0,0,0,318,54,0,210,108,54,0,0,0
"608","Thi-Qar","Suq Al-Shoyokh","Hey al-ghadeir",46.449722,30.909167,"9261","Rest of Iraq",84,14,0,0,0,0,0,0,0,0,84,0,0,30,54,0,0,0,0
"609","Thi-Qar","Al-Chibayish","Al-sahaki",47.030278,30.971389,"9355","Rest of Iraq",420,70,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0
"610","Thi-Qar","Nassriya","Al-zi'elat",46.265,31.018889,"9396","Rest of Iraq",210,35,0,0,90,0,0,0,0,0,120,90,90,120,0,90,0,0,0
"611","Thi-Qar","Nassriya","Hay al-shohada'a",46.2775,31.02,"9398","Rest of Iraq",294,49,0,0,72,0,0,0,0,0,222,72,0,156,66,72,0,0,0
"612","Thi-Qar","Nassriya","A'l fayadh",46.278611,31.021667,"9400","Rest of Iraq",6,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
"613","Thi-Qar","Nassriya","Al-Thawrah",46.225845,31.032418,"9448","Rest of Iraq",126,21,0,0,30,0,0,0,0,0,96,30,0,66,30,30,0,0,0
"614","Thi-Qar","Nassriya","Al-bashai'er",46.238889,31.052778,"9460","Rest of Iraq",60,10,0,0,0,0,0,0,0,0,60,0,0,54,6,0,0,0,0
"615","Thi-Qar","Nassriya","Al-hay al-'askary",46.26799,31.05923,"9470","Rest of Iraq",186,31,0,0,0,0,0,0,0,0,186,0,0,156,30,0,0,0,0
"616","Thi-Qar","Nassriya","Al-shofah",46.235419,31.122961,"9576","Rest of Iraq",72,12,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0,0,0
"617","Thi-Qar","Nassriya","Al Dhubat",46.561111,31.315556,"9728","Rest of Iraq",24,4,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0
"618","Thi-Qar","Al-Shatra","Al-hawi",46.179167,31.401667,"9822","Rest of Iraq",474,79,0,0,60,0,0,0,0,0,414,60,0,324,90,60,0,0,0
"619","Thi-Qar","Al-Shatra","A'l 'awad",46.218889,31.443056,"9880","Rest of Iraq",126,21,0,0,0,0,0,78,0,0,48,78,78,24,24,0,0,0,78
"620","Thi-Qar","Nassriya","Baghdad Street",46.23946,31.03784,"10253","Rest of Iraq",60,10,0,0,0,0,0,0,0,0,60,0,0,36,24,0,0,0,0
"621","Thi-Qar","Nassriya","Al Sharqiya",46.262811,31.045153,"10254","Rest of Iraq",270,45,0,0,0,0,0,0,0,0,270,0,0,192,78,0,0,0,0
"622","Thi-Qar","Nassriya","Hay Al Tadhihiya",46.27703,31.04808,"10259","Rest of Iraq",246,41,0,0,0,0,0,0,0,0,246,0,0,168,78,0,0,0,0
"623","Thi-Qar","Nassriya","Al Iskan Al Ssina'ie",46.26,30.95555,"10260","Rest of Iraq",306,51,0,0,30,0,0,0,0,0,276,30,0,192,84,30,0,0,0
"624","Thi-Qar","Nassriya","Aredo",46.25767,31.0767,"10262","Rest of Iraq",192,32,0,0,0,0,0,0,0,0,192,0,0,96,96,0,0,0,0
"625","Thi-Qar","Nassriya","Sadir City",46.24575,31.08251,"10263","Rest of Iraq",336,56,0,0,48,0,0,0,0,0,288,48,0,162,126,48,0,0,0
"626","Thi-Qar","Nassriya","Al Sai'h",46.155579,31.039025,"10270","Rest of Iraq",180,30,0,0,0,0,0,0,0,0,180,0,0,180,0,0,0,0,0
"627","Thi-Qar","Nassriya","Al Shumokh",46.24614,31.03017,"10281","Rest of Iraq",126,21,0,0,0,0,0,0,0,0,126,0,0,18,108,0,0,0,0
"628","Thi-Qar","Nassriya","Syied Dakhil",46.43002,31.13357,"10295","Rest of Iraq",150,25,0,0,0,0,0,0,0,0,150,0,0,120,30,0,0,0,0
"629","Thi-Qar","Nassriya","Hay Al Fida'a",46.278008,31.057542,"10301","Rest of Iraq",66,11,0,0,0,0,0,0,0,0,66,0,0,12,54,0,0,0,0
"630","Thi-Qar","Nassriya","Al-Salhiya",46.265813,31.052612,"10335","Rest of Iraq",192,32,0,0,0,0,0,0,0,0,192,0,0,156,36,0,0,0,0
"631","Diyala","Al-Khalis","Hibhib",44.49,33.78,"10445","Rest of Iraq",708,118,0,0,0,0,0,0,0,0,708,0,0,708,0,0,0,0,0
"632","Diyala","Ba'quba","Bani Sa`d",44.54,33.56,"10446","Rest of Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633","Diyala","Al-Muqdadiya","Al Miqdadiya Center",44.7156,33.8364,"10625","Rest of Iraq",5886,981,0,0,0,0,0,0,0,0,5886,0,0,5886,0,0,0,0,0
"634","Diyala","Baladrooz","Mandali",45.53,33.74,"10894","Rest of Iraq",2178,363,0,0,0,0,0,0,0,240,1938,0,0,1698,240,0,0,0,0
"635","Diyala","Al-Muqdadiya","Abu Saydah",44.78,33.91,"11101","Rest of Iraq",144,24,0,0,0,0,0,0,0,0,144,0,0,144,0,0,0,0,0
"636","Diyala","Ba'quba","Al Tahreer",44.64,33.75,"11178","Rest of Iraq",852,142,0,0,0,0,0,0,0,0,852,0,0,600,252,0,0,0,0
"637","Diyala","Baladrooz","Qazaneya",45.545,33.6564,"11185","Rest of Iraq",156,26,0,0,0,0,0,0,0,0,156,0,0,156,0,0,0,0,0
