"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"124","Erbil","Shaqlawa","Lasa",44.38,36.39,"12155","KRI",300,50,0,0,0,0,0,0,0,0,300,0,0,0,300,0,0,0,0
"125","Erbil","Shaqlawa","Harir",44.35,36.55,"12172","KRI",2520,420,0,0,0,0,0,0,0,0,2520,0,0,0,2520,0,0,0,0
"126","Erbil","Soran","Khalifan",44.4,36.61,"12277","KRI",4800,800,0,0,0,0,0,0,0,0,4800,0,0,0,4800,0,0,0,0
"127","Erbil","Erbil","Ainkawa",43.99,36.22,"12357","KRI",900,150,0,0,0,0,0,0,0,0,900,0,0,0,900,0,0,0,0
"128","Erbil","Erbil","Bahrka",44.03,36.31,"12370","KRI",1200,200,0,0,0,0,0,0,0,0,1200,0,0,0,1200,0,0,0,0
"129","Erbil","Koisnjaq","Bayizagha",44.6416,36.0838,"12371","KRI",1548,258,0,0,0,420,0,0,0,0,1128,420,420,0,1128,0,420,0,0
"130","Erbil","Koisnjaq","Koysinjaq",44.62,36.08,"12516","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","Erbil","Soran","Rawanduz",44.52505,36.61182,"12597","KRI",4200,700,0,0,0,0,0,0,0,0,4200,0,0,0,4200,0,0,0,0
"132","Erbil","Shaqlawa","Sarmidan/1",44.30814,36.41017,"12948","KRI",4200,700,0,0,0,0,0,0,0,0,4200,0,0,0,4200,0,0,0,0
"133","Erbil","Shaqlawa","Spigra",44.37,36.37,"12957","KRI",420,70,0,0,0,0,0,0,0,0,420,0,0,0,420,0,0,0,0
"134","Erbil","Soran","Soran",44.53,36.65,"13141","KRI",5700,950,0,0,0,0,0,0,0,0,5700,0,0,0,5700,0,0,0,0
"135","Erbil","Erbil","Bahrka Collective",44.03,36.31,"13230","KRI",4200,700,4200,0,0,0,0,0,0,0,0,4200,4200,0,0,0,4200,0,0
"136","Erbil","Shaqlawa","Basirma Collective",44.0397,36.521,"13282","KRI",2160,360,0,0,0,0,0,0,0,0,2160,0,0,0,2160,0,0,0,0
"137","Erbil","Makhmur","Gwer",43.49,36.04,"13352","KRI",1440,240,0,0,0,0,0,0,0,0,1440,0,0,1440,0,0,0,0,0
"138","Erbil","Shaqlawa","Batas",44.33,36.55,"13372","KRI",1620,270,0,0,0,0,0,0,0,0,1620,0,0,0,1620,0,0,0,0
"139","Erbil","Erbil","Hay Askary",43.96403,36.1661,"13668","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Erbil","Erbil","Ashty",44.002,36.2261,"13687","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Erbil","Erbil","Kwestan",44.0303,36.2194,"20785","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Erbil","Erbil","Havalan",44.0445,36.1926,"20790","KRI",2400,400,0,0,0,0,0,0,0,0,2400,0,0,84,2316,0,0,0,0
