"","Seq","Master.ID","DTM.ID","Master.Families","Origin.Governorate","Displacement.Info.Status","Governorate","District","Sub.District","Area","Place","Place_ar","PlaceID","Longitude","Latitude","Last.Asst.Rd#","Current.Round","Current.Round.Date","IDPs.in.Camps.or.transit.camps","Rented.Hotel","Rented.House","IDP.Owned.House","With.Relative","With.HC.non.Relative","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","sufficient.access.to.food","adequate.access.to.potable.water","in.need.of.CRIs","adequate.sanitation.facilities","access.to.functioning.health.facilities","priority.need.of.the.displaced.population.in.the.location","has.received.assistance","assistance.previously.received","Note","Date.Displacement","total","Month.Displacement","communal.setting","private.setting","pc.communal","pc.camp","priority.Food","priority.Shelter","priority.NFI","priority.Water","priority.Cash","priority.Health","priority.Child","class.total","class.pccommunal","class.school","class.camp","class.date","datecut","Assistance.received","Shelterpriority","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","base2","IDPs.in.Camps.or.transit.camps10","School.Building10","Mosques.Holly.Shrines10","Abandoned10","Collective.centres10","Informal.settlements10","Military.Camps10","communal.setting10"
"1",1,NA,NA,154,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi","مرحلة الاولى","90",41.18,34.41,NA,NA,NA,0,0,426,0,426,0,0,0,0,72,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,924,"May-14",72,852,0.0779220779220779,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,426,426,72,0,0,0,"Rest of Iraq",0,0,0,0,72,0,0,72
"2",2,NA,NA,210,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-2","مرحلة الثانية ","23797",41.202051,34.421411,NA,NA,NA,0,0,510,0,672,0,0,0,66,12,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1260,"May-14",78,1182,0.0619047619047619,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,672,510,12,66,0,0,"Rest of Iraq",0,0,0,66,0,0,0,66
"3",3,NA,NA,164,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-3","مرحلة الثالثة","164",41.234951,34.433919,NA,NA,NA,0,0,420,0,246,0,180,0,0,138,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,984,"May-14",318,666,0.323170731707317,0,0,0,0,0,0,0,0,1,3,2,1,1,"Pre-June",1,0,246,420,138,0,180,0,"Rest of Iraq",0,180,0,0,138,0,0,318
"4",4,NA,NA,136,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-Smnt","المجمع السكني لمعمل سمنت القائم","23798",41.202051,34.421411,NA,NA,NA,0,0,438,0,378,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,816,"Jan-14",0,816,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,378,438,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"5",5,NA,NA,34,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Anga'a","حي العنقاء","23792",41.05878,34.37618,NA,NA,NA,0,0,126,0,78,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,204,"Jan-14",0,204,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,78,126,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"6",6,NA,NA,161,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Aubaidi Al Qadima","العبيدي القديمة ","23647",41.202051,34.421411,NA,NA,NA,0,0,402,0,210,0,84,0,168,102,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,966,"Jan-14",354,612,0.366459627329193,0,0,0,0,0,0,0,0,1,3,1,1,1,"Pre-June",1,0,210,402,102,168,84,0,"Rest of Iraq",0,84,0,168,102,0,0,354
"7",7,NA,NA,55,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Nahda Al-Sharqiyah","حي النهضة الشرقية","23791",41.05878,34.37618,NA,NA,NA,0,0,216,0,114,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,330,"Jan-14",0,330,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,114,216,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"8",8,NA,NA,59,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Rumanah Al Gharbiyah","حي الرمانة الغربية","23795",41.0748,34.403923,NA,NA,NA,0,0,222,0,132,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,354,"Jan-14",0,354,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,132,222,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"9",9,NA,NA,72,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Rumanah Al Sharqiyah","حي الرمانة الشرقية","23796",41.0748,34.403923,NA,NA,NA,0,0,192,0,162,0,0,0,78,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,432,"Jan-14",78,354,0.180555555555556,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,162,192,0,78,0,0,"Rest of Iraq",0,0,0,78,0,0,0,78
"10",10,NA,NA,65,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Zalla","قرية الزلة","21477",41.455566,34.421179,NA,NA,NA,0,0,0,0,276,0,0,0,66,48,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,390,"Jan-14",114,276,0.292307692307692,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,276,0,48,66,0,0,"Rest of Iraq",0,0,0,66,0,0,0,66
"11",11,NA,NA,95,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al-Amen","حي الامين","106",41.006205,34.389693,NA,NA,NA,0,0,306,0,168,0,0,0,96,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,570,"Jun-14",96,474,0.168421052631579,0,0,0,0,0,0,0,0,1,2,1,1,0,"Post-June",1,0,168,306,0,96,0,0,"Rest of Iraq",0,0,0,96,0,0,0,96
"12",12,NA,NA,5,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Albu Hardan","قرية البوحردان","273",41.108437,34.392591,NA,NA,NA,0,0,0,0,30,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,30,"Jan-14",0,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,30,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"13",13,NA,NA,27,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Albu Ubaid","قرية البوعبيد","275",41.091485,34.403801,NA,NA,NA,0,0,66,0,96,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,162,"Jan-14",0,162,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,96,66,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"14",14,NA,NA,37,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al-Rabet","قرية الربط","274",41.041886,34.418986,NA,NA,NA,0,0,156,0,66,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,222,"Jun-14",0,222,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,66,156,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"15",15,NA,NA,62,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Door Al-Sikak","حي السكك","271",40.973572,34.388794,NA,NA,NA,0,0,240,0,132,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,372,"Jun-14",0,372,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,132,240,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"16",16,NA,NA,193,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay 12 Rabee' Alawal","حي 12ربيع الاول","272",40.981134,34.392991,NA,NA,NA,0,0,750,30,378,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1158,"May-14",0,1158,0,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,408,750,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"17",17,NA,NA,10,"Baghdad","Same","Anbar","Al-Ka'im",NA,NA,"Hay 12 Rabee' Alawal","حي 12ربيع الاول","272",40.981134,34.392991,NA,NA,NA,0,0,18,0,42,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,60,"Jun-14",0,60,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,42,18,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"18",18,NA,NA,28,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al Askary","حي العسكري","23793",41.05878,34.37618,NA,NA,NA,0,0,102,0,66,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,168,"Jan-14",0,168,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,66,102,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"19",19,NA,NA,77,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al Rashid","حي الرشيد","23788",41.05878,34.37618,NA,NA,NA,0,0,228,0,234,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,462,"Jan-14",0,462,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,234,228,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"20",20,NA,NA,105,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al Sham","حي الشام ( الجمعية )","23787",41.05878,34.37618,NA,NA,NA,0,0,318,30,282,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,630,"Jan-14",0,630,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,312,318,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"21",21,NA,NA,99,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al Shuhada'a","حي الشهداء","23790",41.05878,34.37618,NA,NA,NA,0,0,354,12,228,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,594,"Jun-14",0,594,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,240,354,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"22",22,NA,NA,69,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al Sina'y","حي الصناعي","23794",41.05878,34.37618,NA,NA,NA,0,0,270,0,144,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,414,"Jan-14",0,414,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,144,270,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"23",23,NA,NA,100,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Andalus","حي الاندلس","276",40.9897,34.39097,NA,NA,NA,0,0,306,18,276,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,600,"Jun-14",0,600,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,294,306,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"24",24,NA,NA,73,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Andalus","حي الاندلس","276",40.9897,34.39097,NA,NA,NA,0,0,0,0,438,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,438,NA,0,438,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,438,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"25",25,NA,NA,50,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Athar","حي الاثار","286",41.066633,34.377071,NA,NA,NA,0,0,174,0,126,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,300,"Jan-14",0,300,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,126,174,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"26",26,NA,NA,54,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Farooq","حي الفاروق","279",41.002968,34.396212,NA,NA,NA,0,0,192,12,120,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,324,"Jan-14",0,324,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,132,192,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"27",27,NA,NA,146,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Ma'amon","حي المامون","277",41.004368,34.392414,NA,NA,NA,0,0,576,0,300,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,876,"Jan-14",0,876,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,300,576,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"28",28,NA,NA,15,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Ma'amon","حي المامون","277",41.004368,34.392414,NA,NA,NA,0,0,0,0,90,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,90,NA,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,90,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"29",29,NA,NA,56,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Makarim","حي المكارم","287",41.028504,34.383073,NA,NA,NA,0,0,150,0,186,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,336,"Jan-14",0,336,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,186,150,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"30",30,NA,NA,104,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Salam","حي السلام","268",40.996698,34.392349,NA,NA,NA,0,0,324,0,270,0,0,0,0,0,30,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,624,"Jan-14",30,594,0.0480769230769231,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,270,324,0,0,0,30,"Rest of Iraq",0,0,0,0,0,0,0,0
"31",31,NA,NA,88,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Hay Al-Yarmook","حي اليرموك","269",40.992723,34.39801,NA,NA,NA,0,0,258,12,258,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,528,"Jan-14",0,528,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,270,258,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"32",32,NA,NA,119,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Sa`dah","قرية سعده","66",41.1,34.36,NA,NA,NA,0,0,312,0,270,0,0,0,132,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,714,"Jan-14",132,582,0.184873949579832,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,270,312,0,132,0,0,"Rest of Iraq",0,0,0,132,0,0,0,132
"33",33,NA,NA,60,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Wazeeriya","حي الوزيرية","156",40.989318,34.391873,NA,NA,NA,0,0,198,0,162,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,360,"Jan-14",0,360,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,162,198,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"34",34,NA,NA,260,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Askaree","حي العسكري","165",40.277075,33.038952,NA,NA,NA,0,0,624,90,630,0,0,0,66,0,150,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-03-15,1560,"Mar-14",216,1344,0.138461538461538,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,720,624,0,66,0,150,"Rest of Iraq",0,0,0,66,0,150,0,216
"35",35,NA,NA,95,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Askaree","حي العسكري","165",40.277075,33.038952,NA,NA,NA,0,0,0,0,570,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,570,NA,0,570,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,570,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"36",36,NA,NA,301,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Haara","حي الحارة","150",40.29329,33.038459,NA,NA,NA,0,0,1020,48,612,0,0,72,0,0,54,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,1806,"Jan-14",126,1680,0.0697674418604651,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,660,1020,72,0,0,54,"Rest of Iraq",0,0,72,0,0,0,0,72
"37",37,NA,NA,30,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Haara","حي الحارة","150",40.29329,33.038459,NA,NA,NA,0,0,72,0,48,0,0,0,36,0,24,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-04-15,180,"Apr-14",60,120,0.333333333333333,0,0,0,0,0,0,0,0,1,3,1,1,1,"Pre-June",1,0,48,72,0,36,0,24,"Rest of Iraq",0,0,0,0,0,0,0,0
"38",38,NA,NA,60,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Haara","حي الحارة","150",40.29329,33.038459,NA,NA,NA,0,0,0,0,360,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,360,NA,0,360,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,360,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"39",39,NA,NA,265,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al Wadi","حي الوادي","231",40.284369,33.036414,NA,NA,NA,0,0,654,0,612,0,48,0,66,84,126,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1590,"May-14",324,1266,0.20377358490566,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,612,654,84,66,48,126,"Rest of Iraq",0,0,0,66,84,126,0,276
"40",40,NA,NA,312,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Al-Dara'emah Village","قرية الدراعمة","23935",40.285558,33.038586,NA,NA,NA,0,0,486,0,312,0,0,30,996,48,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1872,"May-14",1074,798,0.573717948717949,0,0,0,0,0,0,0,0,2,4,1,1,1,"Pre-June",1,0,312,486,78,996,0,0,"Rest of Iraq",0,0,0,996,0,0,0,996
"41",41,NA,NA,557,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Antesar","حي الانتصار","167",40.27598,33.041954,NA,NA,NA,0,0,1026,24,1398,0,138,18,36,30,672,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-04-15,3342,"Apr-14",894,2448,0.267504488330341,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,1422,1026,48,36,138,672,"Rest of Iraq",0,138,0,0,0,672,0,810
"42",42,NA,NA,20,"Baghdad","Same","Anbar","Al-Rutba",NA,NA,"Antesar","حي الانتصار","167",40.27598,33.041954,NA,NA,NA,0,0,12,0,0,0,30,0,0,0,78,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,120,"Jun-14",108,12,0.9,0,0,0,0,0,0,0,0,1,5,1,1,0,"Post-June",1,0,0,12,0,0,30,78,"Rest of Iraq",0,0,0,0,0,78,0,78
"43",43,NA,NA,860,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Ar Rahhaliya","الرحالية","14",43.38,32.76,NA,NA,NA,0,0,0,0,5160,0,0,0,0,0,0,0,0,"","","","",NA,NA,NA,NA,NA,2014-01-15,5160,"Jan-14",0,5160,0,0,0,0,0,0,0,0,0,3,1,1,1,1,"Pre-June",1,0,5160,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"44",44,NA,NA,20,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Ar Rahhaliya","الرحالية","14",43.38,32.76,NA,NA,NA,0,0,0,0,120,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,120,NA,0,120,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,120,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"45",45,NA,NA,76,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Germany Company Location","مجمع الشركة الالمانية","189",40.341484,33.042615,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,456,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,456,"Jan-14",456,0,1,0,0,0,0,0,0,0,0,1,5,1,1,1,"Pre-June",1,0,0,0,0,0,0,456,"Rest of Iraq",0,0,0,0,0,456,0,456
"46",46,NA,NA,444,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Gharb Al-Wadi","حي غرب الوادي","23888",40.279731,33.037021,NA,NA,NA,0,0,1224,18,732,0,72,0,330,150,138,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-04-15,2664,"Apr-14",690,1974,0.259009009009009,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,750,1224,150,330,72,138,"Rest of Iraq",0,72,0,330,150,138,0,690
"47",47,NA,NA,450,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Hay Al Meethagh","حي الميثاق","166",40.282946,33.039801,NA,NA,NA,0,0,912,72,792,0,0,240,270,42,372,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-04-15,2700,"Apr-14",924,1776,0.342222222222222,0,0,0,0,0,0,0,0,2,3,1,1,1,"Pre-June",1,0,864,912,282,270,0,372,"Rest of Iraq",0,0,240,270,0,372,0,882
"48",48,NA,NA,364,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Hay Al-Matar","حي المطار","233",40.285538,33.038566,NA,NA,NA,0,0,900,54,738,0,138,18,234,0,102,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,2184,"May-14",492,1692,0.225274725274725,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,792,900,18,234,138,102,"Rest of Iraq",0,138,0,234,0,102,0,474
"49",49,NA,NA,50,"Baghdad","Same","Anbar","Al-Rutba",NA,NA,"Hay Al-Matar","حي المطار","233",40.285538,33.038566,NA,NA,NA,0,0,132,0,96,0,0,0,72,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-06-15,300,"Jun-14",72,228,0.24,0,0,0,0,0,0,0,0,1,2,1,1,0,"Post-June",1,0,96,132,0,72,0,0,"Rest of Iraq",0,0,0,72,0,0,0,72
"50",50,NA,NA,203,"Anbar","Same","Anbar","Al-Rutba",NA,NA,"Rumilah Village","قرية رميلة","23936",40.284389,33.036434,NA,NA,NA,0,0,282,0,372,0,54,0,510,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1218,"May-14",564,654,0.463054187192118,0,0,0,0,0,0,0,0,2,3,1,1,1,"Pre-June",1,0,372,282,0,510,54,0,"Rest of Iraq",0,0,0,510,0,0,0,510
"51",51,NA,NA,235,"Anbar","Same","Anbar","Ana",NA,NA,"Al 'bor (Shishan)","حي العبور","248",41.977818,34.369352,NA,NA,NA,0,0,1020,36,354,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1410,"May-14",0,1410,0,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,390,1020,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"52",52,NA,NA,215,"Anbar","Same","Anbar","Ana",NA,NA,"Al ma'adid","المعاضيد","246",42.145227,34.226544,NA,NA,NA,0,0,624,0,474,0,0,0,0,0,192,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1290,"May-14",192,1098,0.148837209302326,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,474,624,0,0,0,192,"Rest of Iraq",0,0,0,0,0,192,0,192
"53",53,NA,NA,329,"Anbar","Same","Anbar","Ana",NA,NA,"Al Tadamon","حي التضامن","252",41.97249,34.367327,NA,NA,NA,0,0,1068,18,522,0,24,0,342,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1974,"May-14",366,1608,0.185410334346505,0,0,0,0,0,0,0,0,2,2,1,1,1,"Pre-June",1,0,540,1068,0,342,24,0,"Rest of Iraq",0,0,0,342,0,0,0,342
"54",54,NA,NA,20,"Anbar","Same","Anbar","Ana",NA,NA,"Al-A'wany Village","قرية العواني","23937",41.987483,34.373356,NA,NA,NA,0,0,36,0,66,0,0,0,18,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,120,"Jan-14",18,102,0.15,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,66,36,0,18,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"55",55,NA,NA,304,"Anbar","Same","Anbar","Ana",NA,NA,"Hay Al Nasir","حي النصر","250",41.990583,34.366033,NA,NA,NA,0,0,1164,30,582,0,48,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-04-15,1824,"Apr-14",48,1776,0.0263157894736842,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,612,1164,0,0,48,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"56",56,NA,NA,105,"Anbar","Same","Anbar","Ana",NA,NA,"Hay Al Nasir","حي النصر","250",41.990583,34.366033,NA,NA,NA,0,0,0,0,630,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-10-15,630,NA,0,630,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Post-June",1,0,630,0,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"57",57,NA,NA,289,"Anbar","Same","Anbar","Ana",NA,NA,"Hay Al Qadissiyah","حي القادسية","251",41.980873,34.376623,NA,NA,NA,0,0,984,36,666,0,48,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1734,"May-14",48,1686,0.027681660899654,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,702,984,0,0,48,0,"Rest of Iraq",0,0,0,0,0,0,0,0
